위도 : 36.376875	   경도 : 127.354609	   높이 : 94.076720	

위도 : 36.376873	   경도 : 127.354605	   높이 : 94.210806	

위도 : 36.376872	   경도 : 127.354604	   높이 : 94.364805	

위도 : 36.376874	   경도 : 127.354606	   높이 : 94.507897	

위도 : 36.376875	   경도 : 127.354605	   높이 : 95.008378	

위도 : 36.376875	   경도 : 127.354605	   높이 : 94.721772	

위도 : 36.376874	   경도 : 127.354605	   높이 : 94.499478	

위도 : 36.376875	   경도 : 127.354607	   높이 : 95.058616	

위도 : 36.376874	   경도 : 127.354605	   높이 : 94.061203	

위도 : 36.376875	   경도 : 127.354603	   높이 : 94.491526	

위도 : 36.376874	   경도 : 127.354605	   높이 : 93.882495	

위도 : 36.376874	   경도 : 127.354607	   높이 : 94.446490	

위도 : 36.376874	   경도 : 127.354607	   높이 : 95.004786	

위도 : 36.376875	   경도 : 127.354606	   높이 : 95.445479	

위도 : 36.376873	   경도 : 127.354606	   높이 : 95.428975	

위도 : 36.376873	   경도 : 127.354605	   높이 : 95.272956	

위도 : 36.376874	   경도 : 127.354603	   높이 : 94.126858	

위도 : 36.376873	   경도 : 127.354605	   높이 : 94.393700	

위도 : 36.376872	   경도 : 127.354606	   높이 : 94.558182	

위도 : 36.376873	   경도 : 127.354607	   높이 : 94.162250	

위도 : 36.376873	   경도 : 127.354607	   높이 : 94.637836	

위도 : 36.376872	   경도 : 127.354607	   높이 : 95.024738	

위도 : 36.376874	   경도 : 127.354607	   높이 : 94.141009	

위도 : 36.376874	   경도 : 127.354608	   높이 : 94.547192	

